#1.2							
16155	6						
NAME	Description	A-Erg3	A-Erg4	A-Erg5	A-Nrm4	A-Nrm5	A-Nrm6
C14orf1	NA	1349	2582	2322	3435	2765	1976
KIAA0141	NA	613	773	816	1548	1235	1006
KIAA1841	NA	205	213	166	838	463	334
C17orf49	NA	935	1366	1372	1709	1334	960
C16orf13	NA	478	1123	973	1483	1276	1411
C2orf68	NA	427	991	1007	956	712	570
C1orf123	NA	962	916	1139	2592	2617	1311
C4orf19	NA	291	1435	854	496	369	428
C7orf55	NA	409	675	634	1475	1291	1039
C21orf59	NA	266	834	550	978	996	509
C11orf58	NA	3732	5727	5744	8775	7496	4882
C9orf89	NA	4870	2867	3053	1812	1568	1537
C20orf24	NA	77	60	97	59	71	94
KIAA0391	NA	280	316	247	487	579	331
C9orf16	NA	715	1237	971	1294	1006	561
CXorf40A	NA	604	819	952	2052	1712	1105
C9orf24	NA	0	6	1	0	2	0
C3orf80	NA	0	16	8	1	0	0
C20orf196	NA	259	734	717	636	662	229
KIAA1429	NA	715	1495	1784	1912	1479	756
C8orf33	NA	509	1058	1185	1442	1295	808
C11orf49	NA	383	291	348	1499	1310	736
C2orf43	NA	1745	2039	1963	3238	3186	2135
C6orf57	NA	948	1437	1256	2429	2208	1002
KIAA1143	NA	567	1071	1189	1171	1179	665
C3orf58	NA	313	459	731	436	254	442
C16orf74	NA	1	6	0	9	13	4
C12orf73	NA	77	251	272	315	255	252
C17orf85	NA	587	876	1132	712	994	552
C2orf40	NA	894	27	34	197	654	120
C16orf59	NA	159	217	312	316	476	169
C19orf24	NA	308	370	305	458	375	251
C6orf120	NA	1017	1157	1144	2650	2291	1269
C19orf12	NA	3803	6513	5714	1654	1562	1103
C2orf70	NA	0	0	0	0	0	0
LOC102723903	NA	21	5	4	4	6	5
C5orf49	NA	13	1	0	3	6	25
C9orf50	NA	0	23	33	9	11	8
C17orf98	NA	12	3	7	3	11	9
C2orf81	NA	10	2	9	104	30	43
C6orf165	NA	0	1	0	5	1	6
C17orf105	NA	1	0	1	0	8	0
LOC285423	NA	0	0	3	0	0	0
C4orf22	NA	0	0	0	0	0	1
C9orf116	NA	13	9	8	0	5	0
CCDC7	NA	0	1	0	0	0	0
TCP11X2	NA	0	0	3	4	0	0
C19orf81	NA	7	1	0	0	0	7
C6orf118	NA	19	44	38	35	12	53
C2orf61	NA	0	0	0	0	2	1
C14orf105	NA	4	8	2	11	12	0
C4orf51	NA	0	0	1	0	1	0
C11orf97	NA	14	2	0	0	0	0
C1orf158	NA	0	1	2	0	1	0
C1orf194	NA	2	4	4	2	12	3
C1orf111	NA	0	0	8	13	0	0
LOC102723899	NA	0	0	7	0	0	2
C1orf100	NA	0	2	4	4	10	5
C4orf36	NA	0	1	1	0	1	0
C17orf97	NA	0	0	0	0	0	0
C15orf39	NA	3219	3156	4076	695	653	614
C12orf50	NA	0	0	17	0	2	0
C16orf95	NA	0	1	0	0	3	0
LOC100505478	NA	0	0	0	0	0	0
C19orf45	NA	2	15	16	6	6	3
C2orf88	NA	12	47	43	1190	693	497
C9orf117	NA	19	34	36	47	27	18
C10orf82	NA	0	0	0	4	0	0
C2orf57	NA	0	1	0	0	0	0
C20orf141	NA	2	0	0	3	0	4
C17orf50	NA	0	3	7	0	0	2
C6orf203	NA	462	522	588	1362	1296	702
C20orf85	NA	0	0	0	0	0	0
KIAA0226	NA	442	811	680	1616	1328	907
C9orf131	NA	2	1	14	2	6	2
THEGL	NA	5	4	2	0	7	0
C10orf53	NA	0	0	0	0	0	0
C1orf168	NA	102	275	279	587	422	458
C15orf26	NA	0	3	6	0	6	5
C9orf9	NA	48	73	59	1	5	18
C1orf146	NA	12	71	50	34	25	26
C9orf135	NA	1	3	2	8	19	0
LOC102723545	NA	0	1	0	0	1	0
C11orf94	NA	10	8	5	11	7	15
C4orf47	NA	56	59	73	114	233	250
C16orf46	NA	18	4	94	20	63	21
C19orf44	NA	257	163	192	742	710	330
LOC100505841	NA	2	1	0	0	5	0
C12orf71	NA	0	0	1	14	0	0
C7orf34	NA	3	0	6	1	2	0
C16orf90	NA	106	141	168	105	58	112
C20orf27	NA	723	942	912	1515	1000	675
C10orf107	NA	1	19	10	9	2	20
C6orf211	NA	434	655	697	1180	925	558
C2orf69	NA	98	139	110	200	246	110
C19orf67	NA	2	4	0	0	0	1
C1orf110	NA	0	0	0	0	1	2
C22orf23	NA	2	0	4	54	42	14
C2orf74	NA	0	0	7	0	2	4
C1orf189	NA	281	348	386	337	270	224
C9orf171	NA	0	1	7	0	2	2
C3orf62	NA	5	37	23	9	15	21
CCDC182	NA	0	1	0	0	1	0
C10orf11	NA	102	10	5	146	140	94
C12orf42	NA	0	30	4	0	3	0
C11orf85	NA	1	4	9	19	32	1
C14orf119	NA	1240	1516	1710	2832	2446	1254
C17orf64	NA	0	6	7	3	15	1
C11orf98	NA	1052	1813	1732	1969	1999	886
C17orf58	NA	9	13	14	102	51	238
C10orf128	NA	632	925	833	0	0	32
C8orf4	NA	3564	1293	1649	403	680	622
C16orf72	NA	1723	1505	2005	3373	2676	2130
C8orf59	NA	250	527	510	546	488	339
C19orf52	NA	244	344	338	609	372	278
CXorf38	NA	1279	1914	1968	3286	2323	1656
KIAA1644	NA	19	47	80	79	408	95
C21orf2	NA	421	509	584	1347	1186	686
C17orf89	NA	560	819	781	965	786	619
C11orf53	NA	0	264	101	0	11	67
C11orf24	NA	902	518	638	3179	2150	1320
C11orf86	NA	6	0	0	0	0	0
C10orf32	NA	484	532	568	1074	966	671
C14orf2	NA	1698	2229	2159	2166	1830	1335
C10orf35	NA	21	69	69	129	88	134
C9orf3	NA	521	920	1309	803	724	905
KIAA1211L	NA	48	373	351	118	112	71
C9orf64	NA	883	1119	1097	1469	1497	877
C12orf43	NA	399	672	771	1521	1215	803
C11orf30	NA	643	908	989	1694	1472	778
KIAA0825	NA	185	97	196	867	892	341
C6orf15	NA	0	0	0	0	7	4
C15orf61	NA	80	103	165	100	110	47
C17orf70	NA	560	1023	1181	1407	964	651
C2orf54	NA	4	4	26	0	5	12
C1orf53	NA	175	194	203	285	216	194
C19orf25	NA	1316	1888	1918	1919	1759	1151
RNF225	NA	17	28	15	64	3	9
C19orf47	NA	1447	855	1060	548	459	432
C1orf198	NA	544	78	165	728	819	417
C11orf52	NA	116	247	267	212	260	209
C1orf35	NA	290	510	687	376	333	297
KIAA1468	NA	589	856	1197	1064	648	787
C19orf43	NA	392	539	522	343	303	246
MEF2BNB	NA	526	1060	1295	630	533	392
C17orf59	NA	166	75	76	157	137	78
C1orf68	NA	0	0	0	0	0	0
C10orf88	NA	251	342	461	682	528	296
KRTAP13-2	NA	0	0	0	0	0	0
C6orf136	NA	142	303	268	205	138	153
KIAA0195	NA	420	491	619	706	543	722
C1orf52	NA	362	346	514	694	516	432
C2orf50	NA	7	12	14	19	63	35
C19orf70	NA	1709	2675	2922	3259	2506	2009
C14orf169	NA	19	65	62	36	26	0
C5orf42	NA	224	293	427	681	485	322
C9orf41	NA	17	14	21	19	11	13
C12orf49	NA	239	318	488	358	319	252
KIAA1279	NA	185	232	196	493	411	178
C3orf70	NA	709	194	246	2879	2731	1311
KIAA2013	NA	404	595	714	361	319	174
C1orf86	NA	608	739	567	854	755	593
KIAA1407	NA	182	297	307	607	421	529
LOC81691	NA	95	643	670	508	317	315
C15orf38-AP3S2	NA	1033	377	439	2943	2729	1527
C8orf37	NA	493	451	451	2368	2031	1137
KIAA0100	NA	1258	1755	1915	2211	1784	1416
C1orf210	NA	27	113	124	133	72	58
C4orf27	NA	767	1052	1294	1078	826	688
KIAA0586	NA	281	427	586	1051	682	423
C14orf166	NA	2240	2873	2988	4209	3443	2635
C18orf21	NA	404	791	813	879	747	317
C11orf95	NA	210	25	27	825	748	316
LOC100129361	NA	1894	1513	1711	6024	5635	3185
C11orf31	NA	1057	2127	2109	1768	1443	1082
C1orf131	NA	624	982	950	1376	1245	729
C12orf65	NA	266	472	303	891	683	283
KIAA0907	NA	1036	1330	1528	1169	1110	1781
TP53RK	NA	105	209	120	161	200	96
KIAA0101	NA	649	1586	1503	145	114	85
C19orf60	NA	1090	1445	1343	2175	1739	1195
C2orf72	NA	2	76	177	4	16	0
KIAA1551	NA	9180	12570	13843	8410	4393	4970
C16orf45	NA	45	93	68	4	90	1
C19orf18	NA	0	1	2	1	2	0
C5orf45	NA	155	137	146	326	159	176
C18orf8	NA	940	1660	1737	1495	1336	696
C2orf76	NA	71	128	111	218	189	119
C8orf46	NA	25	0	3	5	4	0
C15orf40	NA	444	697	639	980	787	476
C9orf72	NA	2067	1404	1710	1141	971	788
C4orf29	NA	41	164	131	164	135	87
C7orf49	NA	75	95	100	82	95	66
C2orf82	NA	0	5	0	0	0	0
C7orf50	NA	342	299	392	832	606	586
C10orf71	NA	2	3	5	0	2	0
C14orf37	NA	219	16	21	1788	2463	745
C3orf14	NA	1017	1482	1661	2759	2150	1432
C10orf54	NA	5222	6104	6410	2649	1640	1646
AQPEP	NA	120	0	20	706	363	168
C5orf34	NA	1167	1793	2236	2616	1719	1930
C11orf88	NA	0	18	13	0	0	0
KIAA1191	NA	3187	3078	3401	7872	7826	3384
C7orf31	NA	5	12	14	46	4	46
C7orf62	NA	0	0	1	0	6	10
C16orf87	NA	1325	1600	1848	2115	2188	1383
C5orf52	NA	3	2	2	3	2	1
C20orf194	NA	859	432	516	1156	1149	1220
C19orf71	NA	71	31	56	50	39	20
C7orf72	NA	0	0	6	1	0	0
C14orf80	NA	72	157	207	59	19	25
C12orf29	NA	173	147	135	409	557	321
C19orf57	NA	17	126	42	29	71	25
C3orf30	NA	0	0	0	0	0	0
C8orf89	NA	1	1	6	0	0	0
C14orf39	NA	0	0	12	24	24	12
C16orf92	NA	0	0	0	0	0	0
C3orf67	NA	0	5	0	11	10	4
C3orf38	NA	565	1513	1341	1181	1196	574
LOC730159	NA	0	5	20	0	6	0
C18orf54	NA	200	458	769	523	537	225
C2orf73	NA	4	1	0	3	2	1
KIAA1598	NA	860	486	854	622	652	377
C1orf185	NA	4	4	6	0	0	0
KIAA0040	NA	889	3247	4165	2672	1657	1563
C5orf47	NA	0	0	0	0	0	0
LOC100129924	NA	0	16	0	19	8	2
C6orf222	NA	1	37	68	3	18	3
C17orf107	NA	1	6	2	0	0	0
C1orf234	NA	1	4	6	0	0	0
C11orf65	NA	2	22	62	40	17	18
C1orf105	NA	4	3	18	0	7	7
C16orf96	NA	29	8	26	53	62	60
C21orf140	NA	3	0	14	0	33	12
C17orf100	NA	32	50	105	39	34	67
ERICH6B	NA	0	0	1	0	4	0
CXorf36	NA	0	0	0	0	0	0
C8orf74	NA	1	0	0	0	0	0
C4orf17	NA	1	0	0	6	0	0
C4orf46	NA	232	299	394	593	864	280
C3orf20	NA	2	5	3	3	4	1
C11orf54	NA	334	288	376	931	759	542
KIAA0355	NA	1706	914	1053	1662	1418	940
C14orf93	NA	78	38	50	235	237	163
KIAA0895L	NA	70	73	49	32	59	51
C11orf63	NA	1	1	2	12	3	0
MGC50722	NA	0	0	0	1	0	0
KIAA1109	NA	975	1737	3115	1489	1076	1050
C21orf62	NA	136	305	293	84	49	70
C16orf78	NA	0	0	0	0	1	0
C10orf120	NA	0	0	2	0	0	0
C17orf74	NA	3	2	0	0	4	0
C16orf86	NA	5	0	11	0	0	0
C15orf43	NA	0	1	4	2	9	0
LOC100505767	NA	1	0	5	0	4	0
C10orf62	NA	0	7	1	28	1	0
LOC101929469	NA	0	1	0	0	3	0
C6orf201	NA	1	2	2	2	2	0
KIAA0753	NA	163	237	192	491	470	293
C9orf43	NA	11	9	20	1	5	5
C9orf173	NA	1	1	13	10	0	5
C1orf43	NA	4179	6247	7176	7698	6271	3415
KIAA0226L	NA	223	214	397	204	129	120
KIAA0930	NA	720	327	540	518	293	339
KIAA1324	NA	303	2733	2035	2790	1968	159
KRT83	NA	155	1936	1525	0	0	0
CXorf21	NA	860	1820	2171	18	11	133
RAB7B	NA	5853	2303	4458	7529	4938	2715
C1orf216	NA	160	120	63	647	710	416
C17orf75	NA	711	496	656	1969	1879	1124
C4orf32	NA	102	543	613	43	77	197
C1orf106	NA	202	82	160	29	28	277
C9orf156	NA	279	377	313	224	228	119
C15orf59	NA	0	2	5	35	11	9
C5orf22	NA	429	732	937	904	745	473
C17orf99	NA	12	42	24	1	0	0
C1orf95	NA	2	12	7	7	40	5
LOC728392	NA	0	39	135	201	311	128
C19orf68	NA	95	85	86	198	191	94
C9orf91	NA	560	606	833	193	132	136
KIAA0513	NA	298	99	105	367	545	274
C3orf18	NA	2	65	122	5	0	19
KIAA1456	NA	8	11	26	256	545	342
C20orf96	NA	0	7	13	1	20	7
C18orf25	NA	80	82	139	30	38	35
C10orf10	NA	90	278	253	1275	963	2932
KIAA1467	NA	557	1188	1215	848	877	730
C16orf62	NA	1237	1649	1754	3728	2513	1165
C6orf141	NA	236	439	269	1856	1040	717
C10orf76	NA	277	399	302	723	495	338
C8orf76	NA	873	940	1058	2202	1603	1181
C11orf70	NA	84	29	24	547	392	292
KIAA0408	NA	164	27	94	3751	3102	1471
KIAA1324L	NA	5	4	5	18	8	8
C1orf159	NA	177	252	383	134	145	178
C2orf47	NA	683	994	975	990	853	623
KIAA1462	NA	752	191	167	4622	4947	1941
C5orf15	NA	6514	3651	3814	15382	14252	7452
KIAA0895	NA	45	12	31	593	618	297
C12orf5	NA	132	174	307	135	175	67
ZNF14	NA	63	38	126	240	403	123
C8orf58	NA	75	171	182	47	160	39
KIAA2026	NA	477	751	818	1312	1068	805
C1orf109	NA	340	258	303	431	430	323
C1orf74	NA	335	714	613	533	592	1318
A1BG	NA	0	0	1	0	2	0
A1CF	NA	3	16	50	0	1	0
KIAA1033	NA	1860	1772	2419	3585	2674	1754
C19orf66	NA	144	352	389	256	279	131
A2M	NA	4207	283	127	6	20	15
C18orf42	NA	0	0	0	0	0	0
A3GALT2	NA	28	8	1	48	83	28
C1orf174	NA	1234	1949	1917	2519	2387	1167
C15orf52	NA	229	43	44	241	257	143
A4GALT	NA	1058	351	298	7081	7145	2856
A4GNT	NA	0	35	3	0	20	0
C14orf180	NA	0	0	0	1	18	0
KIAA1024L	NA	16	6	10	55	108	35
KIAA1107	NA	34	83	208	142	82	102
C8orf34	NA	2	3	22	28	107	1
CXorf23	NA	621	842	1019	1174	893	650
C11orf91	NA	0	0	0	0	0	0
FRG2B	NA	101	73	102	100	69	57
C15orf48	NA	2454	898	898	48	25	13
C1orf116	NA	213	752	800	209	258	834
C19orf38	NA	1526	2121	1936	20	16	148
CD300C	NA	4305	2010	2695	18	5	121
KIAA1024	NA	0	10	26	0	9	81
C15orf27	NA	1	3	1	11	2	7
KIAA0368	NA	757	971	1365	2470	2025	1151
KIAA1919	NA	0	0	4	3	1	0
C8orf48	NA	3	5	0	40	18	9
KIAA1161	NA	44	57	9	996	919	333
C16orf54	NA	596	2581	2256	21	18	278
C11orf87	NA	2	26	46	148	150	3
C2orf49	NA	581	523	624	1660	1425	816
C11orf68	NA	432	448	732	1329	963	644
C11orf84	NA	117	135	109	137	126	175
C14orf142	NA	459	808	797	432	427	236
KIAA1377	NA	42	1	1	14	42	36
C11orf57	NA	602	623	820	736	533	424
C16orf89	NA	9	46	17	176	75	0
C1orf50	NA	131	216	211	376	318	146
KIAA0319L	NA	650	802	806	1342	767	645
C7orf25	NA	280	679	560	1341	1378	539
C5orf51	NA	1518	1747	2546	4942	3704	2697
KIAA1328	NA	140	272	343	571	554	408
AAAS	NA	626	959	1093	607	447	305
AACS	NA	1026	1352	1331	2111	1704	1010
AADAC	NA	0	0	1	0	0	0
AADACL2	NA	0	5	10	0	0	0
AADACL3	NA	0	1	1	0	0	0
AADAT	NA	0	0	9	0	14	0
AAED1	NA	228	163	184	942	936	578
AAGAB	NA	1682	2670	2990	1850	1711	1249
AAMDC	NA	446	463	413	1713	1651	753
AAMP	NA	5372	5972	5847	10014	9270	5914
AANAT	NA	1	1	0	9	2	0
AAR2	NA	1035	1877	1913	2383	2158	1246
AARD	NA	0	0	2	1	6	0
AARS	NA	2630	2152	2247	2378	2432	1272
AARS2	NA	80	185	201	287	162	206
AARSD1	NA	527	959	1051	1457	1362	633
AASDH	NA	126	234	250	458	406	374
AASDHPPT	NA	1060	1821	1714	2728	2434	1576
AASS	NA	30	17	40	591	500	65
AATF	NA	631	864	1195	926	727	653
AATK	NA	56	5	19	22	53	30
ABAT	NA	584	92	99	4689	3716	1514
ABCA1	NA	6443	2042	4571	4329	2692	2644
ABCA12	NA	0	7	25	4	12	0
ABCA13	NA	15	10	56	73	23	22
ABCA2	NA	475	958	1237	756	775	418
ABCA3	NA	509	918	920	1161	859	562
ABCA5	NA	225	65	164	1772	1936	1030
ABCA6	NA	88	29	87	3429	1834	902
ABCA7	NA	364	743	864	398	222	121
ABCA8	NA	10	9	33	812	523	192
ABCA9	NA	812	142	377	1871	1150	864
ABCB10	NA	264	297	156	293	410	212
ABCB11	NA	0	3	22	6	15	6
ABCB1	NA	576	2329	3128	227	147	130
ABCB4	NA	5	4	14	3	16	4
ABCB5	NA	1	3	33	21	0	8
ABCB6	NA	105	198	149	576	605	202
ABCB7	NA	498	805	1100	745	662	465
ABCB8	NA	453	580	563	1147	973	508
ABCB9	NA	255	1552	1854	111	83	34
ABCC1	NA	820	896	832	1773	1355	1072
ABCC10	NA	81	176	169	213	132	246
ABCC12	NA	0	0	0	29	10	0
ABCC2	NA	1	8	25	7	13	3
ABCC3	NA	820	1191	1186	676	541	883
ABCC4	NA	239	302	341	752	636	250
ABCC5	NA	941	647	609	1978	1713	1258
ABCC6	NA	9	3	12	11	17	3
ABCC8	NA	8	5	1	9	11	0
ABCC9	NA	172	73	16	1238	624	310
ABCD1	NA	1064	1424	1784	966	699	498
ABCD2	NA	133	147	88	423	150	198
ABCD3	NA	1174	1626	1104	4599	3788	2700
ABCD4	NA	245	283	314	504	343	237
ABCE1	NA	1837	2910	2956	5966	5559	3203
ABCF1	NA	1980	2865	3388	3258	2577	1644
ABCF2	NA	778	1276	1318	1822	2067	900
ABCF3	NA	1042	1943	2006	2495	2176	1148
ABCG1	NA	13226	15094	20008	514	632	456
ABCG2	NA	887	274	347	2404	2460	1141
ABCG4	NA	55	23	4	339	105	114
ABCG5	NA	0	16	22	60	156	182
ABCG8	NA	0	4	1	0	1	2
ABHD10	NA	571	1016	1030	1157	853	656
ABHD11	NA	867	1088	1236	3084	2174	1472
ABHD12	NA	1655	1059	1700	2300	1775	1963
ABHD12B	NA	0	0	1	0	2	5
ABHD13	NA	350	412	575	567	528	249
ABHD14A	NA	608	299	236	2121	1404	1069
ABHD14B	NA	720	816	667	3301	2869	1868
ABHD15	NA	447	420	499	26	72	8
ABHD16A	NA	1250	1676	1540	3332	2573	1973
ABHD16B	NA	0	1	25	1	19	0
ABHD2	NA	214	205	328	247	323	211
ABHD3	NA	53	59	46	200	87	106
ABHD4	NA	3136	1262	1885	7570	5614	3934
ABHD5	NA	1378	922	766	3655	2991	1552
ABHD6	NA	425	643	756	899	935	542
ABHD8	NA	181	558	616	460	590	250
ABI1	NA	7160	7317	8214	8513	6834	4326
ABI2	NA	939	688	1154	4173	3671	1701
ABI3	NA	2456	4471	4380	411	136	145
ABL1	NA	856	510	668	2386	1685	1241
ABL2	NA	1769	422	412	1948	1122	959
ABLIM1	NA	1430	10884	12556	17804	10888	7334
ABLIM2	NA	7	44	44	37	17	3
ABLIM3	NA	21	122	123	29	34	23
ABO	NA	36	114	177	624	161	0
ABR	NA	2037	1373	1923	562	452	686
ABRA	NA	3	0	11	0	11	0
ABRACL	NA	4011	6550	6887	6012	4151	2957
ABT1	NA	634	1444	1857	924	890	742
ABTB1	NA	531	1178	1138	942	823	437
ABTB2	NA	825	629	735	137	62	172
ACAA1	NA	1726	1703	1515	2834	2205	1881
ACAA2	NA	1818	1889	1892	15858	10217	5232
ACACA	NA	135	163	199	276	316	214
ACACB	NA	48	51	122	41	64	35
ACAD10	NA	36	92	123	95	149	237
ACAD11	NA	253	338	247	753	538	759
ACAD8	NA	664	602	490	1915	1516	1029
ACAD9	NA	485	722	779	1526	1252	932
ACADL	NA	1515	3408	3472	3595	3448	2332
ACADM	NA	1325	1264	1363	4252	3855	2507
ACADS	NA	333	509	465	510	340	333
