"","A1_FakiAligned","A2_FakiAligned","A2_UntxAligned","A3_FakiAligned","A3_UntxAligned","B1_FakiAligned","B1_UntxAligned","B2_FakiAligned","B3_FakiAligned","B3_UntxAligned","FAKinh_1_ItgB4Aligned","FAKinh_2_ItgB4Aligned","FAKinh_3_ItgB4Aligned","UnTx1_ItgB4Aligned","UnTx3_ItgB4Aligned"
"0610005C13Rik",14,8,5,16,9,4,3,1,6,0,0,3,0,0,0
"0610007N19Rik",2086,1568,720,2178,1192,536,601,654,590,572,467,409,331,213,644
"0610007P14Rik",1054,1776,2101,1175,1891,1279,1445,2215,936,2043,1794,2616,1586,2073,1658
"0610008F07Rik",0,0,0,0,0,8,4,2,4,2,0,5,7,0,4
"0610009B14Rik",0,0,75,2,31,58,65,111,47,71,33,65,33,21,168
"0610009B22Rik",453,527,819,592,952,866,766,1316,630,1174,1479,2165,1260,1104,1233
"0610009D07Rik",2179,1994,2532,2437,3307,3036,2080,3262,2547,2863,3597,3709,3656,2731,2973
"0610009L18Rik",167,75,308,152,279,445,476,333,330,370,509,332,451,514,434
"0610009O20Rik",350,379,382,365,551,402,387,655,380,506,476,386,417,661,649
"0610010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610010F05Rik",1747,1997,2351,2101,2947,3440,1973,3111,2738,2698,2007,2129,2765,1375,1556
"0610010K14Rik",1094,914,1138,1067,1274,1268,1117,934,992,1037,1152,1317,1299,1023,1239
"0610011F06Rik",781,530,1872,769,1347,1350,1514,1925,1057,1934,2142,3400,2208,2361,2133
"0610012G03Rik",1177,1045,1601,1180,1331,1254,1214,1257,889,1376,1723,2296,1509,1374,1747
"0610012H03Rik",0,23,0,0,7,0,0,0,4,1,0,0,11,0,15
"0610030E20Rik",854,1446,1382,1397,1514,1877,1346,1617,1691,1309,1122,1115,1372,1504,1547
"0610031J06Rik",3840,4846,9183,3648,7225,6217,6332,9267,5599,8127,6809,10678,7018,9690,9084
"0610031O16Rik",23,3,0,21,3,3,10,2,4,3,8,0,0,20,3
"0610037L13Rik",1648,1748,1345,1651,1625,1277,922,1664,1036,1136,1714,2111,1573,1152,1474
"0610038B21Rik",64,51,40,56,118,8,5,17,10,17,2,15,13,20,12
"0610038L08Rik",0,4,7,2,3,3,13,8,7,9,1,1,3,8,7
"0610039K10Rik",47,37,108,77,85,105,93,124,84,86,134,101,149,88,106
"0610040B10Rik",20,7,1,13,16,15,29,40,18,32,54,38,23,32,33
"0610040F04Rik",0,3,13,0,4,0,0,1,0,0,0,3,5,0,0
"0610040J01Rik",19,257,4586,151,2420,4009,3789,5951,3925,4944,4034,6323,3581,5318,4618
"0610043K17Rik",108,41,22,140,46,9,16,10,19,16,19,9,27,4,23
"1100001G20Rik",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1110001A16Rik",320,367,497,346,465,440,337,663,345,560,954,1149,916,461,563
"1110001J03Rik",481,358,736,537,631,542,676,685,434,755,775,1122,823,866,843
"1110002L01Rik",83,117,298,87,133,209,304,177,242,217,90,121,167,221,194
"1110004E09Rik",592,837,1113,569,892,1050,755,1116,864,938,1073,1693,1051,915,1001
"1110004F10Rik",5405,5366,4303,5558,6066,4795,3499,5066,4587,4870,5036,5482,5508,4038,4326
"1110006O24Rik",22,8,68,54,71,89,64,83,63,65,143,59,97,56,83
"1110007C09Rik",2254,1505,2427,2060,2443,1969,1745,2063,1872,1725,2192,1856,2100,1774,2141
"1110008F13Rik",1279,1290,2383,1163,2242,2254,1757,2392,1921,2334,3013,4082,3149,2797,2891
"1110008J03Rik",528,424,650,506,548,407,391,371,414,509,421,293,434,300,468
"1110008L16Rik",347,520,559,388,488,589,523,891,506,748,598,989,667,569,565
"1110008P14Rik",266,448,747,258,757,436,507,732,327,488,688,1167,489,839,976
"1110012L19Rik",926,957,1412,1070,1081,2425,1116,2128,1970,1340,2085,1570,1891,955,1170
"1110015O18Rik",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",8,0,1,1,0,1,1,0,0,0,0,1,0,0,0
"1110018G07Rik",849,2367,1591,1118,1978,1342,1185,2072,1411,1413,1020,1877,1367,1261,1102
"1110019D14Rik",89,123,66,48,161,145,169,232,111,154,196,228,125,194,159
"1110020A21Rik",37,16,49,37,51,59,63,68,27,53,80,53,42,53,68
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",0,0,0,0,9,5,13,16,7,37,22,0,6,11,0
"1110028F18Rik",0,0,8,1,8,9,2,0,0,3,0,0,15,0,1
"1110032A03Rik",776,660,1020,965,1106,1011,757,1369,740,1042,1629,2460,1744,1052,973
"1110032F04Rik",0,8,0,16,104,0,5,0,1,35,34,36,30,0,59
"1110034G24Rik",435,301,156,329,253,146,107,209,102,186,342,322,336,207,198
"1110035M17Rik",0,2,0,3,0,1,0,1,1,0,0,1,10,0,0
"1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1110037F02Rik",1566,3061,2924,2447,3528,3314,2675,4423,3624,3290,2993,3837,4003,3161,2431
"1110038B12Rik",628,212,596,774,583,1070,706,613,947,428,930,373,1248,578,665
"1110038F14Rik",841,925,797,839,955,623,685,804,557,765,668,824,714,581,772
"1110046J04Rik",47,102,20,73,69,16,8,22,27,11,16,1,20,28,25
"1110051M20Rik",1059,1246,642,1290,946,548,511,759,566,586,444,483,744,615,559
"1110054M08Rik",101,125,307,96,217,256,312,289,243,326,274,306,319,295,352
"1110057K04Rik",3120,2701,2464,3182,3119,2145,1993,2530,1842,2443,2253,2806,2635,2138,2609
"1110058L19Rik",425,469,343,485,501,232,196,346,204,296,395,790,384,393,386
"1110059E24Rik",1142,1322,1169,1567,1593,1046,830,1529,846,1240,1213,1762,1357,709,1083
"1110059G10Rik",472,596,333,676,606,392,370,671,326,463,450,633,484,227,228
"1110059M19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110065P20Rik",621,575,881,612,1061,948,707,729,836,725,1283,1595,1250,1048,1276
"1190002F15Rik",187,110,307,210,405,147,312,298,73,385,91,141,82,242,491
